hip,hd,cons,ra_h,ra_m,ra_s,dec_sign,dec_deg,dec_m,dec_s,mag,bayer,flam,gould,name,is_comon,is_double,is_var,var_name,max_mag,min_mag
677,358,And,0,8,23.17,,29,5,27,2.07,α,21,,Alpheratz,1,,,,,
5447,6860,And,1,9,43.8,,35,37,15,2.07,β,43,,Mirach,1,,,,,
9640,12533,And,2,3,53.92,,42,19,47.5,2.1,γ1,57,,Almach,1,,,,,
3092,3627,And,0,39,19.6,,30,51,40.4,3.27,δ,31,,Saderazra,,,,,,
7607,9927,And,1,37,59.5,,48,37,42.6,3.59,θ2,51,,Nembus,,,,,,
113726,217675,And,23,1,55.25,,42,19,33.5,3.62,ο,1,,,,,,,,
116584,222107,And,23,37,33.71,,46,27,33,3.81,λ,16,,,,,,,,
4436,5448,And,0,56,45.1,,38,29,57.3,3.86,μ,37,3,,,,,,,
3693,4502,And,0,47,20.39,,24,16,2.6,4.08,ζ,34,,Kui Suer,,,,,,
7513,9826,And,1,36,47.98,,41,24,23,4.1,υ,50,,Adhab,,,,,,
116805,222439,And,23,40,24.44,,44,20,2.3,4.15,κ,19,,,,,,,,
5434,6811,And,1,9,30.12,,47,14,30.6,4.26,φ,42,4,Keun Nan Mun I,,,,,,
116631,222173,And,23,38,8.18,,43,16,5.1,4.29,ι,17,,Manus Catenta,,,,,,
2912,3369,And,0,36,52.84,,33,43,9.7,4.34,π,29,,,,,,,,
3031,3546,And,0,38,33.5,,29,18,44.5,4.34,ε,30,,,,,,,,
4463,5516,And,0,57,12.43,,23,25,3.9,4.4,η,38,30,,,,,,,
1473,1404,And,0,18,19.71,,36,47,7.2,4.51,σ,25,,,,,,,,
3881,4727,And,0,49,48.83,,41,4,44.2,4.53,ν,35,,,,,,,,
114570,219080,And,23,12,32.92,,49,24,21.5,4.53,κ1,7,,,,,,,,
1366,1280,And,0,17,5.54,,38,40,54,4.61,θ,24,61,Tien Ke,,,,,,
113919,218031,And,23,4,10.83,,50,3,6.1,4.64,μ,3,44,Salm,,,,,,
11313,14872,And,2,25,37.4,,50,16,43.2,4.73,c1,65,,,,,,,,
9977,13041,And,2,8,29.15,,37,51,33.1,4.78,τ,58,,,,,,,,
115022,219734,And,23,17,44.62,,49,0,55,4.82,,8,,,,,,,,
6813,8799,And,1,27,39.09,,45,24,25,4.83,ω,48,11,,,,,,,
17531,12534,And,2,3,54.7,,42,19,51,4.84,γ2,57,,,,,,,,
10340,13520,And,2,13,13.34,,44,13,54.1,4.84,b,60,,,,,,,,
6411,8207,And,1,22,20.39,,45,31,43.5,4.87,ξ,46,,Adhil,,,,,,
7818,10205,And,1,40,34.8,,40,34,37.6,4.96,τ,53,,,,,,,,
7918,10307,And,1,41,46.52,,42,36,49.7,4.96,υ,71,,,,,,,,
117221,223047,And,23,46,2.04,,46,25,13,4.97,ψ,20,,,,,,,,
841,571,And,0,10,19.24,,46,4,20.2,5.01,ι,22,,,,,,,,
7719,10072,And,1,39,21.02,,44,23,10.1,5.01,χ,52,,Keun Nan Mun II,,,,,,
5317,6658,And,1,8,0.72,,43,56,32.1,5.04,σ2,41,,,,,,,,
113788,217782,And,23,2,36.34,,42,45,28.1,5.09,π,2,,,,,,,,
2900,3346,And,0,36,46.47,,44,29,18.6,5.14,,,,,,,,V428,,
1686,1671,And,0,21,7.23,,37,58,7.3,5.16,ρ,27,,,,,,,,
2225,2421,And,0,28,13.59,,44,23,40.2,5.18,,139,,,,,,,,
11220,14770,And,2,24,24.89,,50,0,23.9,5.19,,64,42,,,,,,,
2355,2628,And,0,30,7.34,,29,45,6.1,5.2,,28,,,,,,GN,,
116076,221345,And,23,31,17.2,,39,14,11,5.22,o,14,,,,,,,,
6999,9057,And,1,30,6.1,,47,0,26.6,5.27,A,49,,Thail,,,,,,
3231,3817,And,0,41,7.2,,39,27,31.2,5.3,,32,,,,,,,,
114200,218452,And,23,7,39.28,,46,23,14.3,5.3,m,4,,,,,,,,
10366,13530,And,2,13,36.02,,51,3,58.4,5.31,ω,6 Per,,,,,,,,
10819,14212,And,2,19,16.85,,47,22,48,5.31,c,62,,,,,,,,
116709,222304,And,23,39,8.35,,50,28,18.3,5.35,n,18,,,,,,,,
8814,11428,And,1,53,17.35,,40,43,47.3,5.42,φ,55,,,,,,,,
115152,219945,And,23,19,29.79,,48,37,30.7,5.44,,11,,,,,,,,
2942,3421,And,0,37,21.23,,35,23,58.2,5.45,b,79,,,,,,,,
4288,5286,And,0,54,58.02,,23,37,42.4,5.46,,36,,,,,,,,
116354,221756,And,23,34,37.55,,40,14,11.6,5.55,e,15,,,,,,V340,,
10944,14392,And,2,20,58.17,,50,9,5.5,5.57,σ1,63,,,,,,PZ,,
6514,8374,And,1,23,40.56,,37,42,54,5.6,i,47,,,,,,,,
7825,10204,And,1,40,39.56,,43,17,51.9,5.63,r,66,50,,,,,,,
5493,6920,And,1,10,18.85,,42,4,53.7,5.67,s,44,,,,,,,,
114210,218470,And,23,7,45.25,,49,17,43.6,5.68,,5,,,,,,,,
4675,5788,And,1,0,3.55,,44,42,47.9,5.69,,125,,,,,,,,
9021,11749,And,1,56,9.23,,37,15,6.5,5.69,ψ,56,,,,,,,,
1086,905,And,0,13,30.94,,41,2,8.6,5.71,,23,46,,,,,,,
12072,16028,And,2,35,38.74,,37,18,44.2,5.72,,,,,,,,,,
115755,220885,And,23,27,7.33,,42,54,43.1,5.75,,13,,,,,,V388,,
115280,220117,And,23,20,53.17,,38,10,56.9,5.77,κ2,12,,,,,,,,
1657,1632,And,0,20,45.54,,32,54,40.4,5.79,l,106,,,,,,,,
5550,7019,And,1,11,10.29,,37,43,26.9,5.8,,45,,,,,,,,
11090,14622,And,2,22,50.36,,41,23,47.5,5.81,,46,41,,,,,,,
115191,219981,And,23,19,52.38,,42,4,40.9,5.81,,10,32,,,,,,,
116582,222109,And,23,37,32.03,,44,25,44.5,5.81,,(49),62,,,,,,,
118281,224635,And,23,59,29.33,,33,43,26.9,5.81,u,29,17,,,,,,,
117503,223460,And,23,49,40.96,,36,25,31.4,5.86,,56,,,,,,OU,,
1493,1439,And,0,18,38.22,,31,31,2,5.88,,,34,,,,,,,
2475,2767,And,0,31,25.61,,33,34,54.1,5.88,,121,,,,,,,,
1630,1606,And,0,20,24.39,,30,56,8.2,5.89,χ,59,,,,,,,,
9001,11727,And,1,55,54.47,,37,16,40.1,5.89,,,63,,,,,,,
7321,9531,And,1,34,16.6,,37,14,13.9,5.9,p,44,,,,,,KK,,
12181,16176,And,2,36,57.08,,38,44,2.3,5.91,,83,,,,,,,,
114430,218804,And,23,10,27.36,,43,32,41.1,5.91,,6,,,,,,,,
8423,10975,And,1,48,38.84,,37,57,10.6,5.94,,,,,,,,,,
4903,6116,And,1,2,54.28,,41,20,42.7,5.95,,39,,,,,,,,
6711,8671,And,1,26,18.6,,43,27,28.4,5.98,,,83,,,,,,,
115065,219815,And,23,18,23.33,,41,46,25.3,5.98,,9,,,,,,AN,,
4552,5608,And,0,58,14.19,,33,57,3.8,5.99,,36,,,,,,,,
117956,224165,And,23,55,33.48,,47,21,21,6.01,,81,,,,,,,,
118071,224342,And,23,57,3.63,,42,39,29.7,6.01,,118,,,,,,,,
3604,4335,And,0,46,10.8,,44,51,41.4,6.03,,130,,,,,,,,
10403,13594,And,2,14,2.53,,47,29,3.8,6.05,,53,,,,,,,,
3269,3883,And,0,41,35.98,,24,37,44.6,6.06,,103,,,,,,,,
544,166,And,0,6,36.53,,29,1,19,6.07,,,,,,,,V439,,
4185,5118,And,0,53,28.22,,37,25,5.9,6.07,,43,,,,,,,,
116030,221293,And,23,30,39.54,,38,39,44,6.07,,,,,,,,,,
117340,223229,And,23,47,33.05,,46,49,57.3,6.08,,116,,,,,,,,
394,225239,And,0,4,53.21,,34,39,34.4,6.09,,72,,,,,,,,
10176,13294,And,2,10,52.83,,39,2,22.5,6.09,,59,54,,,,,,,
1501,1438,And,0,18,42.15,,43,47,28.1,6.1,,26,,,,,,,,
4501,5526,And,0,57,39.64,,45,50,21.8,6.1,,135,,,,,,,,
365,225218,And,0,4,36.6,,42,5,33.2,6.11,,12,13,,,,,,,
5993,7647,And,1,17,5.05,,44,54,7.5,6.11,h,57,,,,,,,,
1302,1185,And,0,16,21.5,,43,35,42.4,6.12,,80,,,,,,,,
114162,218416,And,23,7,10.05,,52,48,59.6,6.12,,,,,,,,,,
3919,4778,And,0,50,18.21,,45,0,8.1,6.13,,137,,,,,,GO,,
5650,7158,And,1,12,34.06,,45,20,14.9,6.13,,32,,,,,,,,
11465,15138,And,2,27,51.75,,50,34,12.7,6.16,,66,,,,,,,,
10924,14372,And,2,20,41.5,,47,18,39,6.17,,63,,,,,,,,
967,743,And,0,11,59.03,,48,9,8.5,6.18,,18,,,,,,,,
2926,3411,And,0,37,7.2,,24,0,51.3,6.18,,31,21,,,,,,,
116365,221776,And,23,34,46.73,,38,1,26.3,6.18,,,26,,,,,,,
12287,16327,And,2,38,17.86,,37,43,36.6,6.19,,,60,,,,,,,
115996,221246,And,23,30,7.39,,49,7,59.3,6.19,,120,,,,,,,,
7493,9746,And,1,36,27.21,,48,43,22.2,6.2,,13,,,,,,OP,,
699,400,And,0,8,41.02,,36,37,38.7,6.21,,45,38,,,,,,,
10814,14213,And,2,19,10.84,,46,28,20.2,6.21,,60,,,,,,,,
1123,952,And,0,14,2.29,,33,12,21.9,6.22,,,,,,,,,,
1076,895,And,0,13,23.93,,26,59,15.4,6.24,,131,,,,,,,,
116824,222451,And,23,40,40.47,,36,43,14.6,6.24,,,,,,,,,,
137,224906,And,0,1,43.85,,42,22,1.7,6.25,t,6,8,,,,,,,
8922,11613,And,1,54,53.75,,40,42,7.9,6.25,,21,,,,,,,,
115261,220105,And,23,20,44.11,,44,6,58.5,6.25,,,49,,,,,,,
116292,221661,And,23,33,42.99,,45,3,29.1,6.25,,117,,,,,,,,
2583,2942,And,0,32,49.09,,28,16,48.8,6.26,,89,,,,,,,,
6776,8774,And,1,27,6.21,,34,22,39.3,6.27,,99,,,,,,,,
2270,2507,And,0,28,56.67,,36,53,58.9,6.28,k,98,,,,,,,,
6512,8375,And,1,23,37.31,,34,14,44.2,6.28,,,10,,,,,,,
8930,11624,And,1,54,57.63,,37,7,42,6.28,,,,,,,,,,
6087,7758,And,1,18,10.14,,47,25,11,6.29,,105,,,,,,,,
12305,16350,And,2,38,27.94,,38,5,21,6.29,,,,,,,,,,
115171,219962,And,23,19,41.37,,48,22,51.1,6.29,,,,,,,,,,
113501,217314,And,22,59,10.37,,52,39,16,6.31,,,,,,,,,,
8127,10597,And,1,44,26.53,,46,8,23.2,6.32,,,,,,,,,,
114714,219290,And,23,14,14.34,,50,37,4.5,6.32,,,,,,,,,,
8044,10486,And,1,43,16.39,,45,19,21.5,6.33,A2,39,,,,,,,,
8370,10874,And,1,47,48,,46,13,47.6,6.33,,76,,,,,,,,
1208,1075,And,0,15,6.93,,31,32,8.7,6.34,,,18,,,,,,,
6702,8673,And,1,26,8.62,,34,34,47.7,6.34,,,,,,,,,,
1215,1083,And,0,15,10.55,,27,17,0.5,6.35,,,6,,,,,,,
1575,1527,And,0,19,41.58,,40,43,46.2,6.35,,,,,,,,,,
116505,221970,And,23,36,30.52,,32,54,15.1,6.35,,,,,,,,,,
63,224801,And,0,0,43.62,,45,15,12,6.36,,7,,,,,,CG,,
12057,16004,And,2,35,27.89,,39,39,52.1,6.36,,,,,,,,,,
10562,13818,And,2,15,57.69,,47,48,43.4,6.37,,,,,,,,,,
113802,217811,And,23,2,45.15,,44,3,31.6,6.37,,,,,,,,LN,,
115530,220524,And,23,24,8.88,,41,36,46.3,6.37,,,,,,,,V385,,
7651,9996,And,1,38,31.84,,45,23,58.9,6.38,,,,,,,,GY,,
9983,13013,And,2,8,33.55,,44,27,34.4,6.38,,129,,,,,,,,
114152,218365,And,23,7,4.99,,35,38,11.3,6.38,,85,,,,,,,,
7444,9712,And,1,35,52.46,,41,4,35.1,6.39,,,59,,,,,,,
6794,8801,And,1,27,26.67,,41,6,4,6.42,,,,,,,,V529,,
113750,217731,And,23,2,11.32,,44,34,22.4,6.43,,,,,,,,,,
116941,222641,And,23,42,14.68,,44,59,30.3,6.43,,,,,,,,,,
6140,7853,And,1,18,47.02,,37,23,10.7,6.44,,,,,,,,,,
10830,14221,And,2,19,22.77,,48,57,19,6.44,,,,,,,,,,
114981,219668,And,23,17,16.59,,45,9,51.5,6.44,,,,,,,,,,
4911,6114,And,1,3,1.47,,47,22,34.3,6.46,,33,,,,,,,,
9163,11884,And,1,57,59.23,,47,5,43.9,6.48,,,51,,,,,,,
115036,219749,And,23,17,55.99,,45,29,20.2,6.48,,,,,,,,ET,,
116781,222399,And,23,40,2.82,,37,39,10.2,6.49,,,24,,,,,,,
2865,3322,And,0,36,20,,27,15,17,6.5,,,,,,,,PY,,
1009,800,And,0,12,34.08,,44,42,26.1,6.5,,96,,,,,,,,
51172,90610,Ant,10,27,9.16,,-31,4,4.1,4.28,α,110,67,,,,,,,
46515,82150,Ant,9,29,14.74,,-35,57,4.9,4.51,ε,11,2,,,,,,,
53502,94890,Ant,10,56,43,,-37,8,14.9,4.6,ι,,84,,,,,,,
47758,84367,Ant,9,44,12.13,,-27,46,10.4,4.78,θ,,23,,,,,,,
48926,86629,Ant,9,58,52.34,,-35,53,27.4,5.23,η,,38,Nivlek,,,,,,
50888,90132,Ant,10,23,29.41,,-38,0,35,5.34,,14,64,,,,,,,
54173,96146,Ant,11,4,54.21,,-35,48,16.9,5.43,,,85,,,,,,,
46578,82205,Ant,9,29,54.52,,-26,35,22.6,5.49,,,3,,,,,,,
51821,91793,Ant,10,35,12.88,,-39,33,45.3,5.5,,,71,,,,,U,,
50456,89353,Ant,10,18,7.6,,-28,59,31.3,5.52,,,59,,,,,AG,,
51376,90972,Ant,10,29,35.4,,-30,36,25.5,5.57,δ,,68,,,,,,,
52965,93905,Ant,10,49,57.05,,-34,3,29.5,5.61,,,80,,,,,,,
47199,83380,Ant,9,37,9.87,,-32,10,43,5.62,,95,17,,,,,,,
52407,92845,Ant,10,42,43.21,,-32,42,56.4,5.63,,,78,,,,,,,
47187,83332,Ant,9,37,0.25,,-25,17,48.7,5.68,,,16,,,,,,,
46657,82383,Ant,9,30,46.08,,-31,53,21,5.75,ζ1,,8,,,,,,,
48748,86267,Ant,9,56,35.47,,-33,25,6.8,5.83,,,36,,,,,,,
46736,82514,Ant,9,31,32.93,,-35,42,51.6,5.86,,,11,,,,,,,
46734,82513,Ant,9,31,32.19,,-31,52,18.6,5.91,ζ2,,10,,,,,,,
50103,88809,Ant,10,13,45.98,,-40,20,45.9,5.91,,113,55,,,,,,,
48191,85206,Ant,9,49,28.15,,-37,11,12.4,5.95,,,31,,,,,,,
47224,83441,Ant,9,37,28.42,,-36,5,45.6,5.96,,,18,,,,,,,
49769,88218,Ant,10,9,32.09,,-35,51,24.5,6.14,,,49,,,,,,,
46517,82165,Ant,9,29,16.25,,-38,24,12.8,6.15,,,4,,,,,,,
50234,89015,Ant,10,15,20.89,,-36,31,3.8,6.17,,108,58,,,,,,,
26291,82384,Ant,9,30,46.1,,-31,53,22,6.18,ζ1,,9,,,,,,,
50868,90071,Ant,10,23,13.14,,-30,9,44,6.25,,24,63,,,,,,,
49418,87606,Ant,10,5,15.28,,-36,23,3.7,6.27,,84,44,,,,,,,
48468,85725,Ant,9,52,58.21,,-27,19,56.7,6.28,,,33,,,,,,,
49967,88522,Ant,10,12,2.88,,-28,36,21.4,6.28,,,53,,,,,,,
50492,89442,Ant,10,18,37.88,,-36,48,16.5,6.31,,,60,,,,,,,
48776,86301,Ant,9,56,54.14,,-27,28,30.8,6.32,,,37,,,,,BF,,
50122,88836,Ant,10,13,56.58,,-40,18,38.7,6.33,,48,56,,,,,,,
49645,88013,Ant,10,8,1.67,,-37,20,0.5,6.34,,,48,,,,,,,
48219,85296,Ant,9,49,51.36,,-36,16,6.5,6.36,,,32,,,,,,,
52273,92589,Ant,10,40,51.56,,-35,44,30.2,6.36,,,76,,,,,,,
50075,88742,Ant,10,13,24.99,,-33,1,54.8,6.38,,,54,,,,,,,
47627,84224,Ant,9,42,41.37,,-35,30,6.2,6.39,,62,22,,,,,,,
49343,87477,Ant,10,4,23.39,,-39,58,33.1,6.42,,,43,,,,,,,
46810,82610,Ant,9,32,18.45,,-28,37,40.4,6.43,,,12,,,,,S,,
46874,82785,Ant,9,33,7.71,,-39,7,45,6.43,,,13,,,,,,,
47868,84567,Ant,9,45,22.01,,-30,12,9.9,6.45,,,25,,,,,,,
47039,83108,Ant,9,35,11.88,,-35,49,25.5,6.48,,,14,,,,,,,
72370,129078,Aps,14,47,51.73,,-79,2,41,3.83,α,,14,,,,,,,
81065,147675,Aps,16,33,27.46,,-78,53,49.1,3.86,γ,,44,,,,,,,
81852,149324,Aps,16,43,5.42,,-77,30,59.7,4.23,β,,47,,,,,,,
80047,145366,Aps,16,20,20.84,,-78,41,44.4,4.68,δ1,,40,,,,,,,
84969,156277,Aps,17,21,59.53,,-67,46,14.3,4.76,ζ,,60,,,,,,,
69896,123998,Aps,14,18,13.97,,-81,0,27.4,4.89,η,,6,,,,,,,
70248,124771,Aps,14,22,23.2,,-80,6,32.1,5.06,ε,,9,,,,,,,
80057,145388,Aps,16,20,26.86,,-78,40,2.7,5.27,δ2,,41,,,,,,,
73223,131109,Aps,14,57,53.16,,-76,39,45.4,5.37,,,18,,,,,,,
84979,156190,Aps,17,22,5.88,,-70,7,23.4,5.39,ι,22,58,,,,,,,
76013,137387,Aps,15,31,30.82,,-73,23,22.4,5.4,κ1,,29,,,,,,,
81141,148488,Aps,16,34,19.37,,-70,59,17,5.5,,70,45,,,,,,,
72833,130458,Aps,14,53,13.54,,-73,11,24.6,5.59,,,17,,,,,,,
76750,138800,Aps,15,40,21.36,,-73,26,47.9,5.64,κ2,,33,,,,,,,
68815,122250,Aps,14,5,20.1,,-76,47,48,5.69,θ,26,4,,,,,,,
78868,143346,Aps,16,5,55.88,,-72,24,3.9,5.7,,,38,,,,,,,
85760,156513,Aps,17,31,27.47,,-80,51,32.5,5.83,,,59,,,,,NO,,
89115,164712,Aps,18,11,15.76,,-75,53,26.9,5.86,,,66,,,,,,,
89234,165259,Aps,18,12,34.17,,-73,40,18.4,5.86,,,67,,,,,,,
73415,131425,Aps,15,0,11.34,,-77,9,37.9,5.92,,,19,,,,,,,
76877,138867,Aps,15,41,54.7,,-76,4,54.7,5.95,,,34,,,,,,,
69090,122862,Aps,14,8,27.71,,-74,51,2.6,6.02,,,5,,,,,,,
74421,133981,Aps,15,12,34.01,,-72,46,14,6.02,,,25,,,,,,,
70874,126209,Aps,14,29,37.07,,-76,43,44.5,6.06,,,11,,,,,,,
87926,161988,Aps,17,57,41.68,,-76,10,40.6,6.08,,,63,,,,,,,
68431,121439,Aps,14,0,32.85,,-78,35,23.9,6.09,,,3,,,,,,,
76664,138289,Aps,15,39,18.62,,-77,55,3.7,6.19,,,32,,,,,,,
73394,131551,Aps,14,59,55.77,,-75,1,57.4,6.2,,,20,,,,,,,
84158,154556,Aps,17,12,19.85,,-70,43,15.2,6.21,,,55,,,,,,,
84510,154972,Aps,17,16,35.7,,-74,31,58.4,6.24,,,56,,,,,,,
71870,128294,Aps,14,41,59.76,,-77,0,41.1,6.34,,,12,,,,,,,
88599,162337,Aps,18,5,26.74,,-81,29,11.2,6.37,,,65,,,,,,,
75959,137366,Aps,15,30,49.19,,-71,39,14.7,6.39,,,30,,,,,,,
78360,141846,Aps,15,59,55.14,,-78,1,37.6,6.4,,,35,,,,,,,
70418,124639,Aps,14,24,22.18,,-82,50,53.6,6.42,,,8,,,,,,,
72670,129899,Aps,14,51,30.07,,-77,10,33.4,6.44,,,15,,,,,,,
82944,152010,Aps,16,57,1.06,,-71,6,41.6,6.46,,,50,,,,,,,
69778,124099,Aps,14,16,55.17,,-77,39,51.2,6.48,,,7,,,,,,,
86510,159558,Aps,17,40,44.57,,-67,51,14.8,6.48,,,61,,,,,,,
106278,204867,Aqr,21,31,33.52,,-5,34,16.2,2.9,β,22,75,Sadalsuud,1,,,,,
109074,209750,Aqr,22,5,47.03,,0,19,11.4,2.95,α,34,105,Sadalmelik,1,,,,,
113136,216627,Aqr,22,54,39.04,,-15,49,14.7,3.27,δ,76,191,Skat,1,,,,,
110960,213051,Aqr,22,28,49.8,,0,1,12.2,3.65,ζ1,55,150,Sadaltager,,,,,,
114341,218594,Aqr,23,9,26.76,,-21,10,20.9,3.68,c2,88,211,,,,,,,
112961,216386,Aqr,22,52,36.86,,-7,34,46.8,3.73,λ,73,185,Hydor,,,,,,
102618,198001,Aqr,20,47,40.53,,-9,29,44.5,3.78,ε,2,8,Albali,1,,,,,
110395,212061,Aqr,22,21,39.3,,-1,23,14.5,3.86,γ,48,136,Sadachbia,1,,,,,
115438,220321,Aqr,23,22,58.3,,-20,6,1.2,3.96,b1,98,231,,,,,,,
111497,213998,Aqr,22,35,21.33,,0,7,2.5,4.04,η,62,163,Hydria,,,,,,
112716,216032,Aqr,22,49,35.51,,-13,35,33.1,4.05,τ2,71,183,,,,,,,
110003,211391,Aqr,22,16,49.97,,-7,46,59.7,4.17,θ,43,129,Ancha,,,,,,
114724,219215,Aqr,23,14,19.33,,-6,2,54.7,4.22,φ,90,215,,,,,,,
114855,219449,Aqr,23,15,53.28,,-9,5,15.7,4.24,ψ1,91,218,,,,,,,
109139,209819,Aqr,22,6,26.21,,-13,52,10.3,4.29,ι,33,107,,,,,,,
115669,220704,Aqr,23,26,2.82,,-20,38,30.7,4.38,b2,99,235,,,,,,,
115033,219688,Aqr,23,17,54.2,,-9,10,57,4.41,ψ2,93,222,,,,,,,
,213052,Aqr,22,28,50.1,,0,1,12,4.42,ζ2,150,55,,,,,,,
102624,198026,Aqr,20,47,44.24,,-5,1,39.4,4.43,k,3,9,,,,,,,
114119,218240,Aqr,23,6,40.81,,-23,44,35.2,4.48,c1,86,210,,,,,,,
116971,222661,Aqr,23,42,43.28,,-14,32,41.1,4.49,ω2,105,259,,,,,,,
104459,201381,Aqr,21,9,35.59,,-11,22,18,4.5,ν,13,47,Albulaan II,,,,,,
106786,205767,Aqr,21,37,45.04,,-7,51,14.9,4.68,ξ,23,81,Bunda,,,,,,
112211,215167,Aqr,22,43,35.25,,-18,49,49.1,4.68,g,66,176,,,,,,,
116247,221565,Aqr,23,33,16.63,,-20,54,52.3,4.7,b3,101,244,,,,,,,
114375,218640,Aqr,23,9,54.88,,-22,27,27.3,4.71,c3,89,212,,,,,,,
103045,198743,Aqr,20,52,39.21,,-8,58,59.7,4.73,μ,6,16,Albulaan I,,,,,,
108874,209409,Aqr,22,3,18.83,,-2,9,19.2,4.74,ο,31,103,Kae Uh,,,,,,
110672,212571,Aqr,22,25,16.61,,1,22,38.6,4.8,π,52,142,Seat,,,,,,
111123,213320,Aqr,22,30,38.82,,-10,40,40.4,4.82,σ,57,154,,,,,,,
116901,222574,Aqr,23,41,45.8,,-17,48,59.5,4.82,A2,104,257,,,,,,,
114939,219576,Aqr,23,16,50.95,,-7,43,35.3,4.93,χ,92,219,,,,,,,
116758,222345,Aqr,23,39,47.04,,-14,13,19.4,4.97,ω1,102,253,,,,,,,
115115,219832,Aqr,23,18,57.65,,-9,36,38.6,4.99,ψ3,95,223,,,,,,,
111710,214376,Aqr,22,37,45.42,,-4,13,39.9,5.04,κ,63,166,Situla,,,,,,
106944,206067,Aqr,21,39,33.28,,2,14,37.5,5.1,d,25,84,,,,,,,
110391,212010,Aqr,22,21,35.58,,-21,35,52.9,5.12,,47,135,,,,,,,
101936,196758,Aqr,20,39,24.83,,0,29,11.4,5.15,,1,3,,,,,,,
117629,223640,Aqr,23,51,21.32,,-18,54,33,5.17,i3,108,270,,,,,,,
115125,,Aqr,23,19,6.37,,-13,27,17,5.19,,94,224,,,,,,,
115404,220278,Aqr,23,22,39.1,,-15,2,21.8,5.19,,97,230,,,,,,,
115126,219834,Aqr,23,19,6.51,,-13,27,30.4,5.2,,94,224,,,,,,,
111449,213845,Aqr,22,34,41.5,,-20,42,28.3,5.21,υ,59,161,,,,,,,
112529,215721,Aqr,22,47,33.19,,-19,36,46.3,5.24,,68,179,,,,,,,
117089,222847,Aqr,23,44,12.06,,-18,16,36.9,5.24,i1,106,261,,,,,,,
116957,222643,Aqr,23,42,27.81,,-15,26,52.7,5.27,,,258,,,,,,,
117218,223024,Aqr,23,46,0.84,,-18,40,42.1,5.28,i2,107,262,,,,,,,
108991,209625,Aqr,22,4,47.43,,0,54,22.5,5.29,,32,104,,,,,,,
109786,210960,Aqr,22,14,18.02,,-21,4,28.9,5.33,,41,123,,,,,,,
110000,211361,Aqr,22,16,48.04,,-12,49,53.2,5.34,,42,127,,,,,,,
110273,211838,Aqr,22,20,11.91,,-7,49,16,5.35,ρ,46,134,,,,,,,
116889,222547,Aqr,23,41,34.51,,-18,1,36.8,5.36,A1,103,256,,,,,,,
109472,210424,Aqr,22,10,37.46,,-11,33,53.9,5.43,e,38,117,,,,,,,
113996,218060,Aqr,23,5,9.71,,-7,41,37.7,5.44,h,83,208,,,,,,,
105668,203705,Aqr,21,24,11.44,,-12,52,41.3,5.48,,18,67,,,,,,,
105767,203926,Aqr,21,25,16.96,,-3,33,23.7,5.48,,21,70,,,,,,,
103401,199345,Aqr,20,56,54.03,,-9,41,51.1,5.49,,7,24,,,,,,,
110529,212271,Aqr,22,23,30.79,,-24,45,45.6,5.53,,49,137,,,,,,,
113148,216640,Aqr,22,54,45.6,,-16,16,18.3,5.53,,77,193,,,,,,,
103005,198667,Aqr,20,52,8.69,,-5,30,25.4,5.55,,5,13,,,,,,,
108868,209396,Aqr,22,3,16.43,,-6,31,20.7,5.55,,30,102,,,,,,,
110778,212697,Aqr,22,26,34.15,,-16,44,31.7,5.55,f,53,146,,,,,,,
114822,219402,Aqr,23,15,34.26,,-3,29,46.9,5.56,,,217,,,,,,,
115142,219877,Aqr,23,19,23.86,,-5,7,27.5,5.56,,96,226,,,,,,,
108691,209128,Aqr,22,1,5.01,,0,36,17.1,5.6,,28,99,,,,,,,
107144,206445,Aqr,21,42,10.12,,1,17,7,5.66,,26,85,,,,,,,
116591,222093,Aqr,23,37,39.54,,-13,3,37.1,5.66,,,250,,,,,,,
112542,215766,Aqr,22,47,42.75,,-14,3,23.1,5.68,τ1,69,180,,,,,,,
117567,223559,Aqr,23,50,33.26,,-14,24,5.2,5.7,,,269,,,,,,,
105761,203875,Aqr,21,25,13.02,,-9,44,53.3,5.71,,19,68,,,,,,,
108102,208111,Aqr,21,54,10.34,,-4,16,33.4,5.71,,,94,,,,,,,
113184,216718,Aqr,22,55,10.94,,-4,59,16.4,5.72,,,195,,,,,,,
117314,223170,Aqr,23,47,15.94,,-11,54,39.2,5.74,,,264,,,,,,,
110023,211434,Aqr,22,17,6.5,,-5,23,14,5.75,,44,131,,,,,,,
110602,212430,Aqr,22,24,27.03,,-13,31,45.9,5.76,,50,140,,,,,,,
117756,223807,Aqr,23,52,50.49,,-8,59,48.1,5.76,h,,273,,,,,,,
106592,205423,Aqr,21,35,17.63,,-3,58,59.9,5.79,,,80,,,,,,,
110578,212404,Aqr,22,24,6.87,,-4,50,13.2,5.79,,51,139,,,,,,,
109332,210191,Aqr,22,8,58.99,,-18,31,10.5,5.8,,35,112,,,,,,,
110009,211392,Aqr,22,16,52.6,,-9,2,24.1,5.8,,,130,,,,,,,
113031,216494,Aqr,22,53,28.69,,-11,36,59.5,5.8,,74,187,,,,,,,
105164,202753,Aqr,21,18,11.07,,-4,31,10.2,5.83,,15,58,,,,,,,
117722,223774,Aqr,23,52,30.05,,-14,15,4.3,5.85,,,271,,,,,,,
102891,198431,Aqr,20,50,41.7,,-12,32,41,5.87,,,11,,,,,,,
